"player_id","height","breakpoint_saved_pct","second_serve_win_pct","first_serve_pct","first_serve_win_pct","win_rate","age","mean_rank_points","ace_point_pct"
"103893",183,0.603268210667397,0.208604561397088,0.705355392863772,0.415613604076704,34.5679012345679,36.0051592990049,929.349393530997,0.0554431644928018
"103990",180,0.603624994534085,0.1685812599937,0.661756291165991,0.43183937909615,35.2941176470588,35.1454379524174,145.984848484848,0.0308724623594662
"104198",188,0.600052285223854,0.208298936319192,0.708257927757248,0.418305273252939,31.8181818181818,34.851775800439,682.036507936508,0.0447391239304321
"104297",178,0.595376101435939,0.20444714281747,0.69414929116997,0.42068882571039,25.6410256410256,33.6612806533193,605.76724137931,0.0471549340691711
"104424",178,0.461309523809524,0.211414259085677,0.714801353980019,0.394498515104668,33.3333333333333,33.6960985626375,412.125,0.0533334541383523
"104460",196,0.636840375533557,0.206780121718983,0.734840087146527,0.424983740140753,32.3529411764706,32.6958523724795,563.549407114625,0.095073436396239
"104660",193,0.65494340338631,0.200862620198883,0.730433665821256,0.439686910620814,34.6153846153846,32.5788586025219,460.464052287582,0.113772880938959
"104719",190,0.635301951632597,0.205948300072117,0.724157399355871,0.460440467792102,32.6086956521739,32.1532254384763,639.381720430108,0.0713249112638507
"104978",196,0.656836219336219,0.167863301679218,0.693109374921881,0.469106621346098,14.2857142857143,30.9292721880083,262.583333333333,0.108545001829039
"105053",188,0.603101851851852,0.168263607380607,0.703987763119281,0.445522020568001,28.5714285714286,30.1633127994617,374.533333333333,0.0466872088543676
"105064",188,0.529297432462394,0.225800210081054,0.698823163009251,0.406282194710004,32.258064516129,29.4170203057198,696.207142857143,0.0579549823362082
"105155",180,0.57333041958042,0.108975643915461,0.634370623383903,0.464950523351578,26.6666666666667,30.1030738597625,463.5,0.0259866144048678
"105208",190,0.587150870666971,0.21448760625623,0.755526234442119,0.421760491068764,36.1702127659575,29.9437076404833,426.093137254902,0.113426883929496
"105539",185,0.639230773328177,0.205623899843587,0.700061778364879,0.417120294453928,30.3571428571429,27.9263196038157,630.541478129713,0.0584412332786974
"105614",190,0.554085497835498,0.212367925486704,0.756255434049383,0.465617868612015,26.6666666666667,28.4907753095659,560.818181818182,0.118782494634921
